smiles,1,2,3,4,5,6,7
COC(=O)CCCCN1C(=O)[C@H](Cc2ccccc2)N=C(c2ccccc2)c2ccccc21,0.0,0.0,0.0,0.0,,,
COC(=O)CCCCN1C(=O)[C@H](CCCCNC(=O)OC(C)(C)C)N=C(c2ccccc2)c2ccccc21,0.0,0.0,0.0,0.0,,,
COC(=O)CCCCN1C(=O)CN=C(c2ccccc2)c2ccccc21,0.0,0.0,0.0,0.0,,,
COC(=O)CCCCN1C(=O)[C@H](Cc2cncn2C(c2ccccc2)(c2ccccc2)c2ccccc2)N=C(c2ccccc2)c2ccccc21,0.0,0.0,0.0,0.0,,,
CC(C)C[C@@H]1N=C(c2ccccc2)c2ccccc2NC1=O,0.0,0.0,0.0,0.0,,,
O=C(O)C[C@@H]1N=C(c2ccccc2)c2ccccc2N(CCCCC(=O)NO)C1=O,0.0,0.0,0.0,0.0,,,
O=C(O)CCCCN1C(=O)[C@H](CCC(=O)NC(c2ccccc2)(c2ccccc2)c2ccccc2)N=C(c2ccccc2)c2ccccc21,0.0,0.0,0.0,0.0,,,
CC(C)(C)OC(=O)CC[C@@H]1N=C(c2ccccc2)c2ccccc2NC1=O,0.0,0.0,0.0,0.0,,,
CC[C@H](C)[C@@H]1N=C(c2ccccc2)c2ccccc2NC1=O,0.0,0.0,0.0,0.0,,,
CC(C)(C)OC(=O)CC[C@H]1N=C(c2ccccc2)c2ccccc2NC1=O,0.0,0.0,0.0,0.0,,,
CC(C)C[C@@H]1N=C(c2ccccc2)c2ccccc2N(CCCCC(=O)O)C1=O,0.0,0.0,0.0,0.0,,,
CC(C)(C)OC(=O)C[C@H]1N=C(c2ccccc2)c2ccccc2NC1=O,0.0,0.0,0.0,0.0,,,
O=C(CC[C@@H]1N=C(c2ccccc2)c2ccccc2NC1=O)NC(c1ccccc1)(c1ccccc1)c1ccccc1,0.0,0.0,0.0,0.0,,,
CC(C)(C)OC(=O)NCCCC[C@@H]1N=C(c2ccccc2)c2ccccc2N(CCCCC(=O)O)C1=O,0.0,0.0,0.0,0.0,,,
O=C(O)CC[C@@H]1N=C(c2ccccc2)c2ccccc2N(CCCCC(=O)NO)C1=O,0.0,0.0,1.0,0.0,,,
O=C1Nc2ccccc2/C1=N/NC(=S)Nc1ccc(C(=O)NO)cc1,0.0,,,0.0,,,
CSCC[C@@H]1N=C(c2ccccc2)c2ccccc2N(CCCCC(=O)O)C1=O,0.0,0.0,0.0,0.0,,,
COC(=O)CCCCN1C(=O)[C@H](Cc2ccc(OC(C)(C)C)cc2)N=C(c2ccccc2)c2ccccc21,0.0,0.0,0.0,0.0,,,
O=C(C[C@H]1N=C(c2ccccc2)c2ccccc2NC1=O)NO,0.0,0.0,0.0,0.0,,,
O=C(O)CCCCN1C(=O)[C@H](Cc2ccccc2)N=C(c2ccccc2)c2ccccc21,0.0,0.0,0.0,0.0,,,
COC(=O)CCCCN1C(=O)[C@H](CCSC)N=C(c2ccccc2)c2ccccc21,0.0,0.0,0.0,0.0,,,
O=C(CCCCN1C(=O)[C@H](CC(=O)NC(c2ccccc2)(c2ccccc2)c2ccccc2)N=C(c2ccccc2)c2ccccc21)NO,0.0,1.0,1.0,0.0,,,
O=C(O)CCCCN1C(=O)[C@H](CC(=O)NC(c2ccccc2)(c2ccccc2)c2ccccc2)N=C(c2ccccc2)c2ccccc21,0.0,0.0,0.0,0.0,,,
COC(=O)CCCCN1C(=O)[C@H](CC(=O)OC(C)(C)C)N=C(c2ccccc2)c2ccccc21,0.0,0.0,0.0,0.0,,,
O=C(CCCCN1C(=O)[C@H](Cc2ccc(O)cc2)N=C(c2ccccc2)c2ccccc21)NO,0.0,1.0,1.0,0.0,,,
CC(C)(C)OC(=O)n1c(C[C@@H]2N=C(c3ccccc3)c3ccccc3N(CCCCC(=O)NO)C2=O)cc2ccccc21,0.0,1.0,1.0,1.0,,,
O=C1Nc2ccccc2C(c2ccccc2)=N[C@H]1Cc1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cn1,0.0,0.0,0.0,0.0,,,
CC(C)(C)Oc1ccc(C[C@@H]2N=C(c3ccccc3)c3ccccc3N(CCCCC(=O)O)C2=O)cc1,0.0,0.0,0.0,0.0,,,
O=C(CCCCN1C(=O)[C@H](CO)N=C(c2ccccc2)c2ccccc21)NO,0.0,1.0,1.0,0.0,,,
COC(=O)CCCCN1C(=O)[C@H](Cc2cc3ccccc3n2C(=O)OC(C)(C)C)N=C(c2ccccc2)c2ccccc21,0.0,0.0,0.0,0.0,,,
CC(C)(C)OC(=O)C[C@@H]1N=C(c2ccccc2)c2ccccc2NC1=O,0.0,0.0,0.0,0.0,,,
CC(C)(C)Oc1ccc(C[C@@H]2N=C(c3ccccc3)c3ccccc3NC2=O)cc1,0.0,0.0,0.0,0.0,,,
CC(C)(C)OC(=O)C[C@@H]1N=C(c2ccccc2)c2ccccc2N(CCCCC(=O)O)C1=O,0.0,0.0,0.0,0.0,,,
O=C(C[C@@H]1N=C(c2ccccc2)c2ccccc2NC1=O)NC(c1ccccc1)(c1ccccc1)c1ccccc1,0.0,0.0,0.0,0.0,,,
