smiles,1,2,3
CN(C)CCCc1cc(C(=O)Nc2ccc(-c3ccncc3)cc2)ccc1O,0.0,,
COc1cc2c(cc1OC)[C@H](C)NCC2,0.0,,
c1ccc(CNc2nc(-c3cccnc3)nc3ccccc23)cc1,0.0,,
Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1.O=[N+]([O-])O,0.0,,
CCCCCCCCCCCCCCCCCCCCCCO,0.0,,
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,0.0,,
COc1ccc(C(=O)CC(=O)c2ccc(C(C)(C)C)cc2)cc1,0.0,,
O[C@H]1CO[C@@H]2[C@H](O)CO[C@H]12,0.0,,
Clc1ccc(C(Cn2ccnc2)OCc2csc3c(Cl)cccc23)c(Cl)c1.O=[N+]([O-])O,0.0,,
CC(COc1ccccc1)N(CCCl)Cc1ccccc1.Cl,0.0,,
O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Na+],0.0,,
CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC.[I-].[I-].[I-],0.0,,
N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-].[Na+],0.0,,
CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1,0.0,,
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,0.0,,
CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C,0.0,,
Cl.O=C1C2CCCN2C(=O)N1CCCN1CCN(c2cccc(Br)c2)CC1,0.0,,
CN(C)C(=S)SSC(=S)N(C)C,0.0,,
O=C(Nc1cccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)c1)Nc1cccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)c1,0.0,,
